OID_,Date,Station_Name,Station_Id,Reservoir_Storage_Volume__dam_3__Start_of_Day_Values,Elevation__ft_,Latitude,Longitude
129,11/7/1962 0:00:00,Navajo Reservoir,9109090,54866,6050,36.806420000000003,-107.609369999999998
130,11/8/1962 0:00:00,Navajo Reservoir,9109090,54866,6050,36.806420000000003,-107.609369999999998
131,11/9/1962 0:00:00,Navajo Reservoir,9109090,55042,6050,36.806420000000003,-107.609369999999998
132,11/10/1962 0:00:00,Navajo Reservoir,9109090,55042,6050,36.806420000000003,-107.609369999999998
133,11/11/1962 0:00:00,Navajo Reservoir,9109090,55042,6050,36.806420000000003,-107.609369999999998
134,11/12/1962 0:00:00,Navajo Reservoir,9109090,55220,6050,36.806420000000003,-107.609369999999998
135,11/13/1962 0:00:00,Navajo Reservoir,9109090,55220,6050,36.806420000000003,-107.609369999999998
136,11/14/1962 0:00:00,Navajo Reservoir,9109090,55220,6050,36.806420000000003,-107.609369999999998
137,11/15/1962 0:00:00,Navajo Reservoir,9109090,55220,6050,36.806420000000003,-107.609369999999998
138,11/16/1962 0:00:00,Navajo Reservoir,9109090,55574,6050,36.806420000000003,-107.609369999999998
139,11/17/1962 0:00:00,Navajo Reservoir,9109090,56987,6050,36.806420000000003,-107.609369999999998
140,11/18/1962 0:00:00,Navajo Reservoir,9109090,57694,6050,36.806420000000003,-107.609369999999998
141,11/19/1962 0:00:00,Navajo Reservoir,9109090,58401,6050,36.806420000000003,-107.609369999999998
142,11/20/1962 0:00:00,Navajo Reservoir,9109090,58755,6050,36.806420000000003,-107.609369999999998
143,11/21/1962 0:00:00,Navajo Reservoir,9109090,59463,6050,36.806420000000003,-107.609369999999998
144,11/22/1962 0:00:00,Navajo Reservoir,9109090,59639,6050,36.806420000000003,-107.609369999999998
145,11/23/1962 0:00:00,Navajo Reservoir,9109090,59816,6050,36.806420000000003,-107.609369999999998
146,11/24/1962 0:00:00,Navajo Reservoir,9109090,60170,6050,36.806420000000003,-107.609369999999998
147,11/25/1962 0:00:00,Navajo Reservoir,9109090,60346,6050,36.806420000000003,-107.609369999999998
148,11/26/1962 0:00:00,Navajo Reservoir,9109090,60700,6050,36.806420000000003,-107.609369999999998
149,11/27/1962 0:00:00,Navajo Reservoir,9109090,61230,6050,36.806420000000003,-107.609369999999998
150,11/28/1962 0:00:00,Navajo Reservoir,9109090,61584,6050,36.806420000000003,-107.609369999999998
151,11/29/1962 0:00:00,Navajo Reservoir,9109090,61937,6050,36.806420000000003,-107.609369999999998
