first_name,last_name,y_coord,x_coord,det_mfg,det_model,mic_type,refl_type,mic_ht,mic_ht_units,call_id_1,call_id_2,site_id,det_id,night,anpa,cora,coto,epfu,euma,eupe,idph,labl,labo,laci,lano,lase,laxa,myau,myca,myci,myev,mygr,myle,mylu,myse,myso,myth,myve,myvo,myyu,nyfe,nyhu,nyma,pahe,pesu,tabr,epfulano,eumaeupe,eumaidph,eupeidph,eupenyma,lablpahe,labonyhu,labopesu,lacitabr,lanotabr,myarmyev,mycamyvo,mycamyyu,myevmyth,mylumyvo,nyfetabr,reye,my40,q10k,q15k,q25k,q40k,q50k
Pamela,Thurston,41.52052,-78.83067,Wildlife Acoustics,SM3BAT,SMM-U1,None,4.5,meters,Sonobat 4,Personal Experience,Allegheny National Forest,103071_FR134,2019-07-10 00:00:00,,,,1,,,,,1,1,1,,,,,,,,0,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,1,1,
Pamela,Thurston,41.52052,-78.83067,Wildlife Acoustics,SM3BAT,SMM-U1,None,4.5,meters,Sonobat 4,Personal Experience,Allegheny National Forest,103071_FR134,2019-07-11 00:00:00,,,,1,,,,,1,1,1,,,,,,,,0,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1,,,1,0,
Pamela,Thurston,41.52052,-78.83067,Wildlife Acoustics,SM3BAT,SMM-U1,None,4.5,meters,Sonobat 4,Personal Experience,Allegheny National Forest,103071_FR134,2019-07-12 00:00:00,,,,1,,,,,1,0,1,,,,,,,,0,0,1,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1,,,1,1,
Pamela,Thurston,41.52052,-78.83067,Wildlife Acoustics,SM3BAT,SMM-U1,None,4.5,meters,Sonobat 4,Personal Experience,Allegheny National Forest,103071_FR134,2019-07-13 00:00:00,,,,1,,,,,1,1,1,,,,,,,,0,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,1,0,
Pamela,Thurston,41.52052,-78.83067,Wildlife Acoustics,SM3BAT,SMM-U1,None,4.5,meters,Sonobat 4,Personal Experience,Allegheny National Forest,103071_FR134,2019-07-14 00:00:00,,,,1,,,,,1,0,0,,,,,,,,0,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,1,1,
Pamela,Thurston,41.52052,-78.83067,Wildlife Acoustics,SM3BAT,SMM-U1,None,4.5,meters,Sonobat 4,Personal Experience,Allegheny National Forest,103071_FR134,2019-07-15 00:00:00,,,,1,,,,,1,1,1,,,,,,,,0,0,1,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,0,0,
Pamela,Thurston,41.52052,-78.83067,Wildlife Acoustics,SM3BAT,SMM-U1,None,4.5,meters,Sonobat 4,Personal Experience,Allegheny National Forest,103071_FR134,2019-07-16 00:00:00,,,,1,,,,,1,1,1,,,,,,,,0,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,0,1,
Pamela,Thurston,41.4999,-78.90388,Wildlife Acoustics,SM3BAT,SMM-U1,None,4.5,meters,Sonobat 4,Personal Experience,Allegheny National Forest,103071_FR136,2019-07-10 00:00:00,,,,1,,,,,1,1,1,,,,,,,,0,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1,,,0,1,
Pamela,Thurston,41.4999,-78.90388,Wildlife Acoustics,SM3BAT,SMM-U1,None,4.5,meters,Sonobat 4,Personal Experience,Allegheny National Forest,103071_FR136,2019-07-11 00:00:00,,,,1,,,,,1,1,1,,,,,,,,0,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,1,1,
Pamela,Thurston,41.4999,-78.90388,Wildlife Acoustics,SM3BAT,SMM-U1,None,4.5,meters,Sonobat 4,Personal Experience,Allegheny National Forest,103071_FR136,2019-07-12 00:00:00,,,,1,,,,,0,1,0,,,,,,,,0,1,0,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,1,1,
Pamela,Thurston,41.4999,-78.90388,Wildlife Acoustics,SM3BAT,SMM-U1,None,4.5,meters,Sonobat 4,Personal Experience,Allegheny National Forest,103071_FR136,2019-07-13 00:00:00,,,,1,,,,,1,1,1,,,,,,,,0,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,0,0,
Pamela,Thurston,41.4999,-78.90388,Wildlife Acoustics,SM3BAT,SMM-U1,None,4.5,meters,Sonobat 4,Personal Experience,Allegheny National Forest,103071_FR136,2019-07-14 00:00:00,,,,1,,,,,1,1,1,,,,,,,,0,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,0,0,
