STATECODE,HUC4CODE,HUC8CODE,HUCNAME,YEAR,MI-WGWFr,MI-WGWSa,MI-WGWTo,MI-WSWFr,MI-WSWSa,MI-WSWTo,MI-WFrTo,MI-WSaTo,MI-WTotl,,,,,,,,,,,,,,,,,,,,,
35,1504,15040002,Upper Gila-Mangas,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,
04,1504,15040002,Upper Gila-Mangas,1985,4.45,0.00,4.45,3.17,0.00,3.17,7.62,0.00,7.62,,,,,,,,,,,,,,,,,,,,,
35,1504,15040003,Animas Valley,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,
04,1504,15040003,Animas Valley,1985,4.61,0.00,4.61,1.70,0.00,1.70,6.31,0.00,6.31,,,,,,,,,,,,,,,,,,,,,
35,1504,15040004,San Francisco,1985,0.53,0.00,0.53,0.41,0.00,0.41,0.94,0.00,0.94,,,,,,,,,,,,,,,,,,,,,
04,1504,15040004,San Francisco,1985,0.00,0.00,0.00,2.32,0.00,2.32,2.32,0.00,2.32,,,,,,,,,,,,,,,,,,,,,
04,1504,15040005,Upper Gila-San Carlos Reservoir,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,
04,1504,15040006,San Simon,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,
35,1504,15040006,San Simon,1985,0.40,0.00,0.40,0.00,0.00,0.00,0.40,0.00,0.40,,,,,,,,,,,,,,,,,,,,,
04,1504,15040007,San Carlos,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,
04,1505,15050100,Middle Gila,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,
04,1505,15050201,Willcox Playa,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,
04,1505,15050202,Upper San Pedro,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,
04,1505,15050203,Lower San Pedro,1985,14.17,0.00,14.17,0.00,0.00,0.00,14.17,0.00,14.17,,,,,,,,,,,,,,,,,,,,,
04,1505,15050301,Upper Santa Cruz,1985,34.84,0.00,34.84,0.00,0.00,0.00,34.84,0.00,34.84,,,,,,,,,,,,,,,,,,,,,
04,1505,15050302,Rillito,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,
04,1505,15050303,Lower Santa Cruz,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,
04,1505,15050304,Brawley Wash,1985,0.25,0.00,0.25,0.00,0.00,0.00,0.25,0.00,0.25,,,,,,,,,,,,,,,,,,,,,
04,1505,15050305,Aguirre Valley,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,
04,1505,15050306,Santa Rosa Wash,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,
