STATECODE,HUC4CODE,HUC8CODE,HUCNAME,YEAR,DO-SSPop,DO-WGWTo,DO-WSWTo,DO-WTotl,DO-SSPCp,DO-PSDel,DO-WDelv,DO-ToPCp,,,,,,,,,,,,
08,1408,14080203,Montezuma,1985,0.570,0.06,0.00,0.06,88.00,0.61,0.66,401.36,,,,,,,,,,,,
49,1408,14080203,Montezuma,1985,0.410,0.03,0.00,0.03,73.00,0.95,0.99,372.88,,,,,,,,,,,,
04,1408,14080204,Chinle,1985,0.000,0.00,0.00,0.00,0.00,1.77,1.77,62.23,,,,,,,,,,,,
35,1408,14080204,Chinle,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
49,1408,14080204,Chinle,1985,0.080,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
49,1408,14080205,Lower San Juan,1985,1.010,0.06,0.03,0.09,79.00,0.04,0.13,78.43,,,,,,,,,,,,
04,1408,14080205,Lower San Juan,1985,0.650,0.02,0.00,0.02,31.77,0.00,0.02,30.77,,,,,,,,,,,,
04,1501,15010001,Lower Colorado-Marble Canyon,1985,0.000,0.00,0.00,0.00,0.00,0.11,0.11,135.14,,,,,,,,,,,,
04,1501,15010002,Grand Canyon,1985,2.200,0.07,0.00,0.07,27.27,0.00,0.07,27.27,,,,,,,,,,,,
49,1501,15010003,Kanab,1985,0.160,0.01,0.00,0.01,63.00,1.47,1.48,408.67,,,,,,,,,,,,
04,1501,15010003,Kanab,1985,1.220,0.04,0.00,0.04,33.00,0.03,0.08,47.62,,,,,,,,,,,,
04,1501,15010004,Havasu Canyon,1985,0.000,0.00,0.00,0.00,0.00,0.15,0.15,27.78,,,,,,,,,,,,
04,1501,15010005,Lake Mead,1985,0.040,0.11,0.00,0.11,2500.00,0.27,0.38,515.15,,,,,,,,,,,,
32,1501,15010005,Lake Mead,1985,0.000,0.00,0.00,0.00,0.00,0.52,0.52,224.39,,,,,,,,,,,,
04,1501,15010006,Grand Wash,1985,0.010,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
32,1501,15010006,Grand Wash,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
04,1501,15010007,Hualapai Wash,1985,0.200,0.02,0.00,0.02,100.00,4.26,4.28,263.45,,,,,,,,,,,,
49,1501,15010008,Upper Virgin,1985,0.420,0.03,0.00,0.03,71.00,11.84,11.87,320.52,,,,,,,,,,,,
04,1501,15010009,Fort Pearce Wash,1985,2.020,0.17,0.00,0.17,74.26,0.00,0.17,74.26,,,,,,,,,,,,
49,1501,15010009,Fort Pearce Wash,1985,0.000,0.00,0.00,0.00,0.00,0.22,0.22,170.94,,,,,,,,,,,,
32,1501,15010010,Lower Virgin,1985,0.540,0.09,0.00,0.09,148.00,0.38,0.47,159.09,,,,,,,,,,,,
04,1501,15010010,Lower Virgin,1985,0.130,0.01,0.00,0.01,76.92,0.00,0.01,76.92,,,,,,,,,,,,
49,1501,15010010,Lower Virgin,1985,0.000,0.00,0.00,0.00,0.00,0.73,0.73,361.11,,,,,,,,,,,,
32,1501,15010011,White,1985,0.850,0.11,0.02,0.13,141.00,0.17,0.30,170.89,,,,,,,,,,,,
32,1501,15010012,Muddy,1985,0.000,0.00,0.00,0.00,0.00,0.61,0.61,224.07,,,,,,,,,,,,
32,1501,15010013,Meadow Valley Wash,1985,0.020,0.00,0.00,0.00,0.00,0.67,0.67,202.02,,,,,,,,,,,,
49,1501,15010013,Meadow Valley Wash,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
04,1501,15010014,Detrital Wash,1985,0.310,0.06,0.00,0.06,161.29,0.00,0.06,161.29,,,,,,,,,,,,
32,1501,15010015,Las Vegas Wash,1985,15.550,2.38,0.06,2.43,140.00,124.51,126.94,207.26,,,,,,,,,,,,
35,1502,15020001,Little Colorado Headwaters,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
04,1502,15020001,Little Colorado Headwaters,1985,0.000,0.26,0.00,0.26,,0.74,1.00,157.52,,,,,,,,,,,,
