STATECODE,HUC4CODE,HUC8CODE,HUCNAME,YEAR,IR-WGWFr,IR-WSWFr,IR-WFrTo,IR-CUsFr,IR-CLoss,IR-IrSpr,IR-IrMic,IR-IrSur,IR-IrTot,IR-RecWW,SSEBop_CU
04,1501,15010002,Grand Canyon,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--
49,1501,15010003,Kanab,1985,1.50,4.20,5.71,5.02,0.40,0.50,0.00,1.69,2.19,0.00,--
04,1501,15010003,Kanab,1985,2.01,0.00,2.01,1.48,0.50,0.00,0.00,0.40,0.40,0.00,--
04,1501,15010004,Havasu Canyon,1985,0.00,0.41,0.41,0.20,0.00,0.00,0.00,0.21,0.21,0.00,--
32,1501,15010005,Lake Mead,1985,0.00,0.12,0.12,0.08,0.00,0.00,0.00,0.02,0.02,0.00,--
04,1501,15010005,Lake Mead,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--
04,1501,15010006,Grand Wash,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--
32,1501,15010006,Grand Wash,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--
04,1501,15010007,Hualapai Wash,1985,0.40,0.00,0.40,0.18,0.04,0.00,0.00,0.10,0.10,0.00,--
49,1501,15010008,Upper Virgin,1985,6.40,80.02,86.42,45.12,6.05,2.10,0.00,8.82,10.92,0.00,--
49,1501,15010009,Fort Pearce Wash,1985,4.00,0.00,4.00,3.72,0.28,1.00,0.00,0.00,1.00,0.00,--
04,1501,15010009,Fort Pearce Wash,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--
32,1501,15010010,Lower Virgin,1985,3.77,15.08,18.84,12.60,0.84,0.52,0.00,2.48,3.00,0.00,--
04,1501,15010010,Lower Virgin,1985,6.01,4.80,10.81,8.10,2.70,0.00,0.00,2.00,2.00,0.00,--
