STATECODE,HUC4CODE,HUC8CODE,HUCNAME,YEAR,PS-ToPop,PS-WGWTo,PS-WSWTo,PS-WTotl,PS-DelDO,PS-DelCO,PS-DelIN,PS-DelPT,PS-DelTO,,,,,,,,,,
49,1408,14080204,Chinle,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
04,1408,14080205,Lower San Juan,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
49,1408,14080205,Lower San Juan,1985,0.520,0.03,0.02,0.06,0.04,0.00,0.00,0.00,0.04,,,,,,,,,,
04,1501,15010001,Lower Colorado-Marble Canyon,1985,0.740,0.00,0.68,0.68,0.11,0.57,0.00,0.00,0.68,,,,,,,,,,
04,1501,15010002,Grand Canyon,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
04,1501,15010003,Kanab,1985,0.250,0.03,0.00,0.03,0.03,0.00,0.00,0.00,0.03,,,,,,,,,,
49,1501,15010003,Kanab,1985,3.070,1.88,0.00,1.88,1.47,0.41,0.00,0.00,1.88,,,,,,,,,,
04,1501,15010004,Havasu Canyon,1985,4.680,0.00,0.35,0.35,0.15,0.19,0.01,0.00,0.35,,,,,,,,,,
04,1501,15010005,Lake Mead,1985,0.620,0.27,0.00,0.27,0.27,0.00,0.00,0.00,0.27,,,,,,,,,,
32,1501,15010005,Lake Mead,1985,2.050,0.01,152.51,152.52,0.52,0.07,0.00,0.00,0.58,,,,,,,,,,
04,1501,15010006,Grand Wash,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
32,1501,15010006,Grand Wash,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
04,1501,15010007,Hualapai Wash,1985,14.300,4.73,0.00,4.73,4.26,0.24,0.24,0.00,4.73,,,,,,,,,,
49,1501,15010008,Upper Virgin,1985,32.620,14.12,0.04,14.17,11.84,0.76,1.03,0.00,13.63,,,,,,,,,,
04,1501,15010009,Fort Pearce Wash,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
49,1501,15010009,Fort Pearce Wash,1985,1.170,0.22,0.00,0.22,0.22,0.00,0.00,0.00,0.22,,,,,,,,,,
04,1501,15010010,Lower Virgin,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
32,1501,15010010,Lower Virgin,1985,2.100,0.48,0.00,0.48,0.38,0.06,0.00,0.00,0.44,,,,,,,,,,
49,1501,15010010,Lower Virgin,1985,1.800,0.85,0.00,0.85,0.73,0.04,0.00,0.00,0.77,,,,,,,,,,
32,1501,15010011,White,1985,0.730,0.18,0.00,0.18,0.17,0.01,0.00,0.00,0.18,,,,,,,,,,
32,1501,15010012,Muddy,1985,2.410,1.45,0.00,1.45,0.61,0.11,0.08,0.27,1.06,,,,,,,,,,
32,1501,15010013,Meadow Valley Wash,1985,2.950,0.80,0.00,0.80,0.67,0.03,0.00,0.00,0.71,,,,,,,,,,
49,1501,15010013,Meadow Valley Wash,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
04,1501,15010014,Detrital Wash,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
32,1501,15010015,Las Vegas Wash,1985,530.810,48.63,2.26,50.89,124.51,41.47,1.51,0.85,168.34,,,,,,,,,,
04,1502,15020001,Little Colorado Headwaters,1985,5.650,0.82,0.00,0.82,0.74,0.08,0.00,0.00,0.82,,,,,,,,,,
