STATECODE,HUC4CODE,HUC8CODE,HUCNAME,YEAR,IN-WGWFr,IN-WGWSa,IN-WGWTo,IN-WSWFr,IN-WSWSa,IN-WSWTo,IN-WFrTo,IN-WSaTo,IN-WTotl,
04,1506,15060105,Tonto,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
04,1506,15060106,Lower Salt,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
04,1506,15060201,Big Chino-Williamson Valley,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
04,1506,15060202,Upper Verde,1985,1.12,0.00,1.12,0.53,0.00,0.53,1.65,0.00,1.65,
04,1506,15060203,Lower Verde,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
04,1507,15070101,Lower Gila-Painted Rock Reservoir,1985,0.10,0.00,0.10,0.10,0.00,0.10,0.20,0.00,0.20,
04,1507,15070102,Agua Fria,1985,2.65,0.00,2.65,0.18,0.00,0.18,2.82,0.00,2.82,
04,1507,15070103,Hassayampa,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
04,1507,15070104,Centennial Wash,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
04,1507,15070201,Lower Gila,1985,0.00,9.35,9.35,0.00,0.00,0.00,0.00,9.35,9.35,
04,1507,15070202,Tenmile Wash,1985,0.86,0.00,0.86,0.00,0.00,0.00,0.86,0.00,0.86,
04,1507,15070203,San Cristobal Wash,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
04,1508,15080101,San Simon Wash,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
04,1508,15080102,Rio Sonoyta,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
04,1508,15080103,Tule Desert,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
04,1508,15080200,Rio De La Concepcion,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
04,1508,15080301,Whitewater Draw,1985,1.48,0.00,1.48,0.00,0.00,0.00,1.48,0.00,1.48,
04,1508,15080302,San Bernardino Valley,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
35,1508,15080302,San Bernardino Valley,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
35,1508,15080303,Cloverdale,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
08,1401,14010001,Colorado Headwaters,1990,0.03,0.00,0.03,0.02,0.00,0.02,0.06,0.00,0.06,
08,1401,14010002,Blue,1990,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
08,1401,14010003,Eagle,1990,0.17,0.00,0.17,0.07,0.00,0.07,0.24,0.00,0.24,
08,1401,14010004,Roaring Fork,1990,0.01,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.01,
08,1401,14010005,Colorado Headwaters-Plateau,1990,0.62,0.00,0.62,0.26,0.00,0.26,0.87,0.00,0.87,
